,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WSB1,5131.81136874052,2.01395928561274,0.0664340953906218,30.315145766206104,7.240088178370137e-202,1.5626214246171194e-199
UHRF1,1303.9284960631599,-3.43772128720646,0.113820521189062,-30.203000753231503,2.1631499661633692e-200,4.6291409275896085e-198
GINS2,747.273767642923,-3.49905800636963,0.115980373482789,-30.169397642859696,5.971668833625677e-200,1.2671981629135795e-197
CDC25A,776.071832359839,-3.3002638350315805,0.10957097023453,-30.1198741598032,2.661654611270749e-199,5.601008520317419e-197
VCP,6876.02050629934,-1.70370083536703,0.056630294167207,-30.0846192028717,7.701152376507166e-199,1.6071859488558593e-196
NEDD4L,5519.27490250943,-1.72994445935195,0.0575250088729196,-30.072910778225697,1.0956504885296993e-198,2.2678168964222987e-196
MRTO4,1566.9821537704402,-2.42390399748433,0.0808168458008807,-29.9925587724177,1.2270626315670996e-197,2.519169558726209e-195
H2AZ1,4646.54239480255,-2.00870747080012,0.0672712738745171,-29.859810214788197,6.547753181596047e-196,1.3334182527553496e-193
ADGRB2,1680.9145076223901,2.8958584292478595,0.0973065385299842,29.760162811212602,1.2811713925274296e-194,2.588171200328209e-192
CEP55,2207.74645979585,-2.38097143940576,0.0800470418029425,-29.744652466573,2.033513426281809e-194,4.075419130195888e-192
DNAJA1,5578.723367889829,-1.68357457647854,0.0566765221653883,-29.704973279159397,6.623032519779947e-194,1.3168883243266396e-191
WFDC2,781.8265981088341,3.6591875053394403,0.123229223947437,29.694153611648602,9.136306800656285e-194,1.802422026016969e-191
ESPL1,2481.3168196470897,-2.34404210024922,0.0791490131729086,-29.6155568627045,9.422408587765076e-193,1.844454741536769e-190
ORC6,1137.35378993672,-2.54155642013056,0.0859819107602681,-29.559199111273998,5.002231983340618e-192,9.716643234101335e-190
ADAMTS1,1634.24461678915,-2.22348423246376,0.07534214383441,-29.511825909156798,2.030112488626359e-191,3.913313020060528e-189
EIF4G1,11873.547798613,-1.79810083060998,0.0609578397499586,-29.497450007834395,3.104128803792319e-191,5.938292466163918e-189
TIMP2,2432.2470606807397,2.17528751735902,0.0738477256157975,29.456391503189103,1.0427026122622097e-190,1.979723786830469e-188
CDC45,861.627192535934,-2.96422321981758,0.100750573394252,-29.4214029752279,2.9242132609361687e-190,5.510614422773148e-188
SMC1A,5944.68239245043,-1.8635410492447,0.063364568121165,-29.4098279922189,4.111974459408498e-190,7.691524373998776e-188
TYMS,1494.8208533459199,-2.4732605953894105,0.0843231792676006,-29.3307322716152,4.208341141122198e-189,7.813899301148356e-187
H6PD,750.215441256553,3.6291635024534905,0.124485411173783,29.153323817094805,7.581675130127606e-187,1.3974632144962193e-184
PSMD2,6052.7020916191395,-1.8333288275434598,0.0629445764790612,-29.1260809126792,1.678552675626589e-186,3.071508127892949e-184
ANLN,3437.30650619612,-2.34656047692619,0.0805712556980934,-29.1240400387817,1.7814763020394693e-186,3.2363913366259584e-184
MCM7,5174.4735893280895,-2.35343877893935,0.0808278078155699,-29.1166968713211,2.2067695864278594e-186,3.980381828319728e-184
HSPD1,11992.2509401083,-1.89931912554275,0.0653651209681916,-29.0570735188727,1.2526323973824594e-185,2.2433669006171593e-183
HNRNPM,5665.68531012984,-1.81225806596347,0.0623698093751406,-29.056655521634497,1.2679574461304394e-185,2.254821227442669e-183
C1QBP,4593.1492777405,-1.8617082268630298,0.064072492619406,-29.056279079411997,1.2819191638275793e-185,2.263707882865319e-183
CKAP2L,1619.5672434846697,-2.47031076379164,0.0852018490872848,-28.993628545091,7.916431841706996e-185,1.3882342837971194e-182
PAPLN,1151.3442840113,2.67611184733594,0.0933595642876481,28.664570874502303,1.0553140599442195e-180,1.837847630462859e-178
LRRC59,3445.91862635586,-1.8490927358999898,0.0646041403943077,-28.6218921049666,3.5886736866665783e-180,6.206930680527707e-178
EHD1,5607.54072304859,-2.23428483785481,0.0780630051664308,-28.6215581002973,3.623187338743318e-180,6.223995012105188e-178
CAVIN1,10642.2556325515,-1.69643820914404,0.0594232620596615,-28.548385772575102,2.9415938257444885e-179,5.018995087006739e-177
TXNIP,635.890232473455,4.7477116416625496,0.16637361962475,28.5364449746952,4.137898693351078e-179,7.0127662956041175e-177
SLIT2,1376.7986999615,2.30166227224161,0.08077246656992401,28.4956293893673,1.3270117030904894e-178,2.2339799684294093e-176
